Name,Email,Matters,Leases,Date
Vic Wall,Vic.Wall@osborneclarke.com,3,5,01/08/2024
Shawn Black,Shawn.Black@osborneclarke.com,1,11,01/08/2024
Matt Click,Matt.Click@osborneclarke.com,2,2,01/09/2024
Andy McDillan,Andy.McDillan@osborneclarke.com,1,215,01/09/2024
Andy McDillan,Andy.McDillan@osborneclarke.com,1,50,01/08/2024
Vic Wall,Vic.Wall@osborneclarke.com,1,1,01/10/2024
Andy McDillan,Andy.McDillan@osborneclarke.com,2,97,01/11/2024
Vic Wall,Vic.Wall@osborneclarke.com,3,10,01/11/2024
Matt Click,Matt.Click@osborneclarke.com,1,18,01/12/2024
Andy McDillan,Andy.McDillan@osborneclarke.com,5,6,01/12/2024
