Full Name,Status,#,Post Name,Category,Employee Category,Practice Group,Team,Team Code,Location
Vic Wall,,7445,Bids Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Shawn Black,,7175,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,London
Matt Click,,10750,Senior Legal Engineer,OC Solutions,UK - Business Services,"UK - OC Solutions,",UK - Operations,6450,Bristol
Andy McDillan,,8267,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Zola Meyer,,9597,Junior Business Analyst,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Tristan Solis,,11380,Practice Group Marketing Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,London
Miracle Clements,,5635,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Fisher Goodman,,9578,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,Bristol
Carolina Ponce,,7335,Trainee Solicitor (SQE Route),Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Langston Leblanc,,4767,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Novalee Gentry,,8277,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Magnus Thornton,,9586,Senior Finance Business Analyst,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,London
Haisley Brewer,,9577,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Cruz Wilson,,10526,Trainee Solicitor Secondment,Trainee Solicitor,UK - Business Services,"UK - OC Solutions,",UK - Operations,6450,Bristol
Luna Black,,5004,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Matteo Murphy,,8380,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Bella Massey,,5137,Diversity & Inclusion Manager,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Donald Hudson,,11014,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Kamila Harper,,5683,People Development Advisor,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Hayes Banks,,2824,Senior Knowledge Lawyer,Knowledge,UK - Fee Earner Support,"UK - Advisory,",UK - Professional Support,400,Bristol
Cali McIntyre,,5276,Conveyancing Executive,Legal Executive,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Eliseo Mann,,9444,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Advisory,",UK - PA Support,400,Bristol
Paislee Montoya,,1027,International CEO,Business Operations & Mgt,UK - Firm Management,"UK - Operations,",UK - OPS,5000,Bristol
Ford Jimenez,,10778,People Development Administrator,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,London
Adeline Munoz,,6696,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Justin Logan,,4210,Workplace Services Coordinator,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,Bristol
Kora Steele,,8632,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,London
Elian Donaldson,,5395,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Natasha Hurst,,10718,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Neil Hanna,,9228,Pensions Director,Fee Earning Managers,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Cynthia Murphy,,8272,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Cameron Shaffer,,2860,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Alanna McIntosh,,9419,Legal Cashier,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Kristian Garcia,,4895,Associate Director,Associate Director,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Amelia Lopez,,3744,Associate Director,Associate Director,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Michael Duke,,10562,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Reading
Melani Harrison,,10535,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Gavin Andrews,,10720,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Payton Blake,,4855,IT Deskside Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Zyaire Wu,,11496,Trade Mark Formalities Assistant,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Liana Hull,,4576,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Salem Fuller,,10028,Senior Associate,Senior Associate,US - Operations,"US - Firm Management USA,",US - Operations,6900,New York
Oakley Bartlett,,5588,BSM Assistant,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Reading
Kace Barnes,,10570,Group Catering Manager,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,London
Liliana Berg,,4218,Events Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Cayson Castaneda,,10543,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,London
Keira Rios,,9756,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,Bristol
